hillnumber, hillname, region, parent, classification, metres, gridref, drop, latitude, longitude,W,WO,easting,northing
2557,Wether Hill,34C,2528,"W,B,Sy,Fel, xN",671,NY455167,5,54.543239,-2.842453,1,0,345596,516769
2559,Tarn Crag (Sleddale),34C,,"Ma,Sim,Hew,N, W,B,Sy,Fel",664,NY488078,160,54.463458,-2.790658,1,0,348847,507853
2561,Place Fell,34C,,"Ma,Sim,Hew,N, W,B,Sy,Fel",657,NY405169,262,54.544269,-2.920741,1,0,340533,516947
2562,High Pike (Scandale),34C,2521,"W,B,Sy,Fel",656,NY374088,6,54.470976,-2.966791,1,0,337442,508832
2563,Selside Pike,34C,2528,"Sim,Hew,N,W, B,Sy,Fel",655,NY490111,36,54.49308,-2.787925,1,0,349061,511147
2564,Middle Dodd,34C,2538,"W,B,Sy,Fel",654,NY397095,14,54.477939,-2.931566,1,0,339735,509576
2565,Grey Crag [Sleddale Fell],34C,2559,"Sim,Hew,N,W, B,Sy,Fel",638,NY497072,41,54.457874,-2.777191,1,0,349713,507221
2566,Little Hart Crag [Little Hart Crag - West Top],34C,2521,"Sim,Hew,N,W, B,Sy,Fel",637,NY387100,34,54.481916,-2.947169,1,0,338730,510032
2570,Birks,34C,2527,"N,sSim,W,B, Sy,Fel",624,NY380143,20.3,54.520711,-2.959051,1,0,338019,514359
2572,Hartsop Dodd,34C,2540,"N,sSim,W,B, Sy,Fel",618,NY411118,24,54.498538,-2.910448,1,0,341133,511850
2573,Heron Pike (Rydal),34C,2521,"N,sSim,W,B, Sy",612,NY355083,21,54.466072,-2.995126,1,0,335598,508312
2574,Shipman Knotts,34C,2528,"W,B,Sy,Fel",587,NY472062,11,54.448577,-2.814707,1,0,347269,506215
2575,Great Yarlside,34C,2559,"WO,B",591,NY525075,6,54.461514,-2.734065,0,1,352513,507597
2576,Howes,34C,2528,WO,583,NY498103,3,54.486263,-2.776063,0,1,349821,510380
2577,The Nab,34C,2528,"5,Dew,W,B, Sy",576,NY434151,61,54.528893,-2.875675,1,0,343427,515199
2578,Hartsop Above How [Gill Crag - Hartsop Above How],34C,2521,"s5,W,B,Sy, Fel",584,NY383120,27,54.499595,-2.953939,1,0,338318,512005
2579,Angletarn Pikes [Angletarn Pikes North Top],34C,2528,"5,Dew,W,B, Sy,Fel",567,NY413148,78,54.525312,-2.907999,1,0,341330,514827
2580,Great Saddle Crag,34C,2559,"WO,B,Sy",560,NY526086,2,54.471093,-2.732755,0,1,352609,508661
